text,trans,type
プロデュース開始時に絆＋$num,프로듀스 시작시에 인연＋$1,
一緒にラジオへ出演すると$noun＋$num,함께 라디오에 출연하면 $1＋$2,
「約束」を守れなかった場合に$percentの確率でテンションが下がらない,「약속」을 지킬 수 없었던 경우 $1의 확률로 텐션이 내려가지 않는다,
「休む」を選択時に$percentの確率で体力回復量＋$num,「휴식」을 선택시에 $1의 확률로 체력 회복량＋$2,
レッスンかお仕事を選択する時に$percentの確率でトラブル率－$num,레슨이나 영업을 선택할 때에 $1의 확률로 트러블율－$2,
一緒にトークショーへ出演すると$noun＋$num,함께 토크 쇼에 출연하면 $1＋$2,
レッスンかお仕事を選択する時に$percentの確率で体力消費量－$percent,레슨이나 영업을 선택할 때에 $1의 확률로 트러블율－$2,
テンション最高時に一緒に行動すると確率で$noun＋$num,텐션 최고점에서 함께 행동하면 확률로 $1＋$2,
一緒にボーカルレッスンをすると$noun＋$num,함께 보컬 레슨을 하면 $1＋$2,
スキル発動時に一緒に行動してトラブルが起きなかった場合パーフェクトが発生,스킬 발동시에 함께 행동해 트러블이 일어나지 않은 경우 퍼펙트가 발생,
一緒に雑誌の撮影をすると$noun＋$num,함께 잡지의 촬영을 하면 $1＋$2,
一緒に雑誌の撮影をすると体力$num回復,함께 잡지의 촬영을 하면 체력 $1회복,
一緒にトークショーへ出演すると体力$num回復,함께 토크 쇼에 출연하면 체력 $1 회복,
一緒にラジオへ出演すると体力$num回復,함께 라디오에 출연하면 체력 $1 회복,
一緒にビジュアルレッスンをすると体力$num回復,함께 비주얼 레슨을 하면 체력 $1 회복,
一緒にボーカルレッスンをすると体力$num回復,함께 보컬 레슨을 하면 체력 $1 회복,
一緒にダンスレッスンをすると体力$num回復,함께 댄스 레슨을 하면 체력 $1 회복,
一緒に行動してエクセレントが発生するとエクセレント効果\+$percent,함께 행동해 엑설런트가 발생하면 엑설런트 효과＋$1,
一緒に行動してエクセレントが発生するとエクセレント効果＋$percent,함께 행동해 엑설런트가 발생하면 엑설런트 효과＋$1,
一緒にビジュアルレッスンをすると$noun＋$num,함께 비주얼 레슨을 하면 $1＋$2,
一緒にダンスレッスンをすると$noun＋$num,함께 댄스 레슨을 하면 $1＋$2,
行動した場所に自分以外のユニットメンバーがいると1人につき$noun＋$num,행동한 장소에 자신 이외의 유닛 멤버가 있으면 1명에 대해 $1＋$2,
オーディションで$num位を取ると$noun＋$num,오디션으로 $1정도를 취하면 $2＋$3,
Dance,Dance,noun
Visual,Visual,noun
Vocal,Vocal,noun
Da,Da,noun
Vi,Vi,noun
Vo,Vo,noun
メンタル,Mental,noun
Me,Me,noun
SP,SP,noun
